source_id,target_id,distance
3,54,364.390855
3,55,396.534749
3,56,431.106849
3,57,489.174011
3,58,530.920071
3,59,608.770167
3,60,500.021908
3,61,456.579286
3,62,442.006466
3,63,445.912460
3,64,468.968212
3,65,503.749256
3,66,506.779142
3,67,569.169104
3,68,587.322612
3,69,662.450976
3,70,529.153577
3,71,530.302734
3,72,513.732799
3,73,512.074581
3,74,549.660489
3,75,573.199482
3,76,561.684825
3,77,629.489072
3,78,668.624004
3,79,713.496477
3,80,642.152833
3,81,624.707227
3,82,577.566882
3,83,608.490895
3,84,600.344956
3,85,617.237386
3,86,662.513154
3,87,692.300619
3,88,744.641888
3,89,779.154340
3,90,683.864700
3,91,672.322472
3,92,661.252786
3,93,669.654895
3,94,697.856594
3,95,706.374837
3,96,724.833369
3,97,754.328940
3,98,803.489111
3,99,844.247643
4,5,83.013881
4,6,154.430541
4,7,243.539213
4,8,332.828261
4,9,373.591736
4,10,294.260223
4,11,245.015556
4,12,163.524710
4,13,93.932008
4,14,85.992259
4,15,141.077384
4,16,186.710953
4,17,253.797408
4,18,307.023253
4,19,403.909074
4,20,333.691147
4,21,253.727981
4,22,202.601360
4,23,157.413717
4,24,161.658796
4,25,202.608023
4,26,258.097778
4,27,312.042154
4,28,376.541397
4,29,432.895395
4,30,357.741827
4,31,324.226487
4,32,263.924140
4,33,263.417900
4,34,252.246923
4,35,268.705825
4,36,321.193075
4,37,368.312702
4,38,428.224201
4,39,480.952440
4,40,414.684087
4,41,372.505440
4,42,347.363623
4,43,316.738512
4,44,295.681004
4,45,326.073159
4,46,377.956175
4,47,414.532322
4,48,489.623657
4,49,503.090490
4,50,454.669059
4,51,441.781639
4,52,382.381641
4,53,388.103521
4,54,370.274331
4,55,391.527812
4,56,418.632942
4,57,465.058506
4,58,505.271648
4,59,574.410467
4,60,541.833923
4,61,493.933008
4,62,467.561488
4,63,466.736798
4,64,479.232190
4,65,502.076734
4,66,499.350013
4,67,550.596944
4,68,565.110293
4,69,634.513543
4,70,566.824627
4,71,561.876286
4,72,538.297799
4,73,529.478193
4,74,558.249306
4,75,574.577400
4,76,555.182821
4,77,618.407615
4,78,648.443865
4,79,691.922429
4,80,679.078202
4,81,656.295662
4,82,603.124539
4,83,627.218470
4,84,610.591612
4,85,619.881096
4,86,659.643377
4,87,681.402036
4,88,730.605182
4,89,758.094025
4,90,719.503137
